,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
185,2022-04-27,861.2398416406996,731.645527456814,977.9913503449535,861.2398416406996,861.2398416406996,-7.317853996966303,-7.317853996966303,-7.317853996966303,-7.317853996966303,-7.317853996966303,-7.317853996966303,0.0,0.0,0.0,853.9219876437334
186,2022-04-28,859.7375521352553,717.4265229357819,964.0760667228786,859.7375521352553,859.7375521352553,-13.668964899931371,-13.668964899931371,-13.668964899931371,-13.668964899931371,-13.668964899931371,-13.668964899931371,0.0,0.0,0.0,846.068587235324
187,2022-04-29,858.2352626298111,714.2088123324949,972.1657534002669,858.2352626298111,858.2352626298111,-16.944190502610493,-16.944190502610493,-16.944190502610493,-16.944190502610493,-16.944190502610493,-16.944190502610493,0.0,0.0,0.0,841.2910721272007
188,2022-05-02,853.7283941134785,736.5338170714124,980.5136035860623,853.7283941134785,853.7283941134785,0.45076634131084004,0.45076634131084004,0.45076634131084004,0.45076634131084004,0.45076634131084004,0.45076634131084004,0.0,0.0,0.0,854.1791604547894
189,2022-05-03,852.2261046080342,719.1143723957437,980.2363255343464,852.2261046080342,852.2261046080342,-7.519975793908588,-7.519975793908588,-7.519975793908588,-7.519975793908588,-7.519975793908588,-7.519975793908588,0.0,0.0,0.0,844.7061288141257
190,2022-05-04,850.72381510259,720.303048404722,960.895288371884,850.72381510259,850.72381510259,-7.3178539969522705,-7.3178539969522705,-7.3178539969522705,-7.3178539969522705,-7.3178539969522705,-7.3178539969522705,0.0,0.0,0.0,843.4059611056377
191,2022-05-05,849.2215255971458,716.3076884383072,949.6868181572344,849.2215255971458,849.2215255971458,-13.66896489992473,-13.66896489992473,-13.66896489992473,-13.66896489992473,-13.66896489992473,-13.66896489992473,0.0,0.0,0.0,835.5525606972211
192,2022-05-06,847.7192360917019,709.0261141362813,947.1083059422381,847.7192360917019,847.7192360917019,-16.944190502592697,-16.944190502592697,-16.944190502592697,-16.944190502592697,-16.944190502592697,-16.944190502592697,0.0,0.0,0.0,830.7750455891091
193,2022-05-09,843.2123675209183,722.2681407147633,967.2598384516988,843.2123675209183,843.2123675209183,0.4507663412876802,0.4507663412876802,0.4507663412876802,0.4507663412876802,0.4507663412876802,0.4507663412876802,0.0,0.0,0.0,843.663133862206
194,2022-05-10,841.7100779973238,707.6464944574128,958.7359048291929,841.7100779973238,841.7100779973238,-7.519975793926665,-7.519975793926665,-7.519975793926665,-7.519975793926665,-7.519975793926665,-7.519975793926665,0.0,0.0,0.0,834.1901022033971
195,2022-05-11,840.2077884737292,705.1485014930261,952.5802572523309,840.2077884737292,840.2077884737292,-7.317853996983693,-7.317853996983693,-7.317853996983693,-7.317853996983693,-7.317853996983693,-7.317853996983693,0.0,0.0,0.0,832.8899344767456
196,2022-05-12,838.7054989501349,705.1169690637793,937.1171676085104,838.7054989501349,838.7054989501349,-13.668964899943662,-13.668964899943662,-13.668964899943662,-13.668964899943662,-13.668964899943662,-13.668964899943662,0.0,0.0,0.0,825.0365340501912
197,2022-05-13,837.2032094265404,699.4163152297804,947.6980376160799,837.2032094265404,837.2032094265404,-16.944190502575534,-16.944190502575534,-16.944190502575534,-16.944190502575534,-16.944190502575534,-16.944190502575534,0.0,0.0,0.0,820.2590189239648
198,2022-05-16,832.696340855757,710.9179664576075,948.3210250777137,832.696340855757,832.696340855757,0.4507663412645244,0.4507663412645244,0.4507663412645244,0.4507663412645244,0.4507663412645244,0.4507663412645244,0.0,0.0,0.0,833.1471071970215
199,2022-05-17,831.1940513321625,696.4349879713533,951.4244610029684,831.1940513321625,831.1940513321625,-7.519975793944744,-7.519975793944744,-7.519975793944744,-7.519975793944744,-7.519975793944744,-7.519975793944744,0.0,0.0,0.0,823.6740755382178
200,2022-05-18,829.6917618085678,705.1986153340864,941.1471678891475,829.6917618085678,829.6917618085678,-7.317853996950263,-7.317853996950263,-7.317853996950263,-7.317853996950263,-7.317853996950263,-7.317853996950263,0.0,0.0,0.0,822.3739078116175
201,2022-05-19,828.1894722891974,702.0147814356062,930.5602739479003,828.1894722891974,828.1894722891974,-13.66896489994981,-13.66896489994981,-13.66896489994981,-13.66896489994981,-13.66896489994981,-13.66896489994981,0.0,0.0,0.0,814.5205073892475
202,2022-05-20,826.6871827698269,692.9106509750737,930.8957296863651,826.6871827698269,826.6871827698269,-16.944190502557742,-16.944190502557742,-16.944190502557742,-16.944190502557742,-16.944190502557742,-16.944190502557742,0.0,0.0,0.0,809.7429922672692
203,2022-05-23,822.1803142117154,708.2725037060443,937.8790617919417,822.1803142117154,822.1803142117154,0.450766341361793,0.450766341361793,0.450766341361793,0.450766341361793,0.450766341361793,0.450766341361793,0.0,0.0,0.0,822.6310805530773
204,2022-05-24,820.6780246923448,690.008042906284,927.0370996345127,820.6780246923448,820.6780246923448,-7.519975793906497,-7.519975793906497,-7.519975793906497,-7.519975793906497,-7.519975793906497,-7.519975793906497,0.0,0.0,0.0,813.1580488984383
205,2022-05-25,819.1757351729744,699.3987185884005,938.2319175184963,819.1757351729744,819.1757351729744,-7.31785399695896,-7.31785399695896,-7.31785399695896,-7.31785399695896,-7.31785399695896,-7.31785399695896,0.0,0.0,0.0,811.8578811760154
206,2022-05-26,817.673445653604,679.7674721596261,923.4755096838811,817.673445653604,817.673445653604,-13.668964899906074,-13.668964899906074,-13.668964899906074,-13.668964899906074,-13.668964899906074,-13.668964899906074,0.0,0.0,0.0,804.0044807536979
